Company Name,Country,Address,Email,Contact Name,Position,Phone,Website,Raw Data
Logenix International(Kabul),Afghanistan,"House#55, Lane 1, Sherpoor Street,Shaheed Square, Shar-e-Naw,Kabul, Afghanistan",asalam@logenix.com,Mr. AzamDurrani,Director Middle East,+92 336 208 3419 (Mr. Akbar Salam),http://www.logenix.com/,"Address:
House#55, Lane 1, Sherpoor Street,Shaheed Square, Shar-e-Naw,Kabul, Afghanistan
Phone:
+93 788 106 008, +93 778 829 054
Fax:
+93 785 800 754
Emergency Call:
+92 336 208 3419 (Mr. Akbar Salam)
Website:
http://www.logenix.com/
Email:
asalam@logenix.com
;
adurrani@logenix.com
;
tshalizi@logenix.com
Name:
Mr. AzamDurrani
Title:
Director Middle East
Email
adurrani@logenix.com
Name:
Mr. AkbarSalam
Title:
Manager Business Development
Direct Line
+93 202 213 885
Email
asalam@logenix.com
Mobile
+971 588 821 766, +93 788 106 008
Name:
Mr. TariqShalizi
Title:
Country Manager Afghanistan
Direct Line
+93 788 106 008, +93 778 829 054, +93 202 213 885
Email
tshalizi@logenix.com
Mobile
+93 786 306 633, +971 588 821 766
Name:
Mr. MahboobullahAhmadi
Title:
Deputy Operations Manager (AFG)
Direct Line
+93 79 366 0652
Email
mahmadi@logenix.com
Mobile
+93 78 630 6633"
Logenix International(Kabul),Afghanistan,"House#55, Lane 1, Sherpoor Street,Shaheed Square, Shar-e-Naw,Kabul, Afghanistan",adurrani@logenix.com,Mr. AkbarSalam,Manager Business Development,+92 336 208 3419 (Mr. Akbar Salam),http://www.logenix.com/,"Address:
House#55, Lane 1, Sherpoor Street,Shaheed Square, Shar-e-Naw,Kabul, Afghanistan
Phone:
+93 788 106 008, +93 778 829 054
Fax:
+93 785 800 754
Emergency Call:
+92 336 208 3419 (Mr. Akbar Salam)
Website:
http://www.logenix.com/
Email:
asalam@logenix.com
;
adurrani@logenix.com
;
tshalizi@logenix.com
Name:
Mr. AzamDurrani
Title:
Director Middle East
Email
adurrani@logenix.com
Name:
Mr. AkbarSalam
Title:
Manager Business Development
Direct Line
+93 202 213 885
Email
asalam@logenix.com
Mobile
+971 588 821 766, +93 788 106 008
Name:
Mr. TariqShalizi
Title:
Country Manager Afghanistan
Direct Line
+93 788 106 008, +93 778 829 054, +93 202 213 885
Email
tshalizi@logenix.com
Mobile
+93 786 306 633, +971 588 821 766
Name:
Mr. MahboobullahAhmadi
Title:
Deputy Operations Manager (AFG)
Direct Line
+93 79 366 0652
Email
mahmadi@logenix.com
Mobile
+93 78 630 6633"
Logenix International(Kabul),Afghanistan,"House#55, Lane 1, Sherpoor Street,Shaheed Square, Shar-e-Naw,Kabul, Afghanistan",asalam@logenix.com,Mr. TariqShalizi,Country Manager Afghanistan,"+971 588 821 766, +93 788 106 008",http://www.logenix.com/,"Address:
House#55, Lane 1, Sherpoor Street,Shaheed Square, Shar-e-Naw,Kabul, Afghanistan
Phone:
+93 788 106 008, +93 778 829 054
Fax:
+93 785 800 754
Emergency Call:
+92 336 208 3419 (Mr. Akbar Salam)
Website:
http://www.logenix.com/
Email:
asalam@logenix.com
;
adurrani@logenix.com
;
tshalizi@logenix.com
Name:
Mr. AzamDurrani
Title:
Director Middle East
Email
adurrani@logenix.com
Name:
Mr. AkbarSalam
Title:
Manager Business Development
Direct Line
+93 202 213 885
Email
asalam@logenix.com
Mobile
+971 588 821 766, +93 788 106 008
Name:
Mr. TariqShalizi
Title:
Country Manager Afghanistan
Direct Line
+93 788 106 008, +93 778 829 054, +93 202 213 885
Email
tshalizi@logenix.com
Mobile
+93 786 306 633, +971 588 821 766
Name:
Mr. MahboobullahAhmadi
Title:
Deputy Operations Manager (AFG)
Direct Line
+93 79 366 0652
Email
mahmadi@logenix.com
Mobile
+93 78 630 6633"
Logenix International(Kabul),Afghanistan,"House#55, Lane 1, Sherpoor Street,Shaheed Square, Shar-e-Naw,Kabul, Afghanistan",tshalizi@logenix.com,Mr. MahboobullahAhmadi,Deputy Operations Manager (AFG),"+93 786 306 633, +971 588 821 766",http://www.logenix.com/,"Address:
House#55, Lane 1, Sherpoor Street,Shaheed Square, Shar-e-Naw,Kabul, Afghanistan
Phone:
+93 788 106 008, +93 778 829 054
Fax:
+93 785 800 754
Emergency Call:
+92 336 208 3419 (Mr. Akbar Salam)
Website:
http://www.logenix.com/
Email:
asalam@logenix.com
;
adurrani@logenix.com
;
tshalizi@logenix.com
Name:
Mr. AzamDurrani
Title:
Director Middle East
Email
adurrani@logenix.com
Name:
Mr. AkbarSalam
Title:
Manager Business Development
Direct Line
+93 202 213 885
Email
asalam@logenix.com
Mobile
+971 588 821 766, +93 788 106 008
Name:
Mr. TariqShalizi
Title:
Country Manager Afghanistan
Direct Line
+93 788 106 008, +93 778 829 054, +93 202 213 885
Email
tshalizi@logenix.com
Mobile
+93 786 306 633, +971 588 821 766
Name:
Mr. MahboobullahAhmadi
Title:
Deputy Operations Manager (AFG)
Direct Line
+93 79 366 0652
Email
mahmadi@logenix.com
Mobile
+93 78 630 6633"
"ACTCO – Afghan Container Transport Company(Kabul, Head Office)",Afghanistan,"House No. 252. St. No.2 , Left West Of Charahi – Haji Yaqub,Kabul, AfghanistanMailing: P.O. Box 3165, Kabul, Afghanistan",info@actcogrp.com,Mr. Gaurav Kukreja,Managing Director,"+93.70.214666,",http://www.actcogrp.com/,"Address:
House No. 252. St. No.2 , Left West Of Charahi – Haji Yaqub,Kabul, AfghanistanMailing: P.O. Box 3165, Kabul, Afghanistan
Phone:
+93.70.214666,
+93.799.334944 (Mr. Ali),
+93.799.109555 (Mr. Feraidun)
Emergency Call:
+93.70.214666,
+93.799.334944 (Mr. Ali),
+93.799.109555 (Mr. Feraidun)
Website:
http://www.actcogrp.com/
Email:
info@actcogrp.com
;
gaurav@actcogrp.com
;
kabul@actcogrp.com
;
cs.dxb@actcogrp.com
Name:
Mr. Gaurav Kukreja
Title:
Managing Director
Direct Line
+971.4.353.3992
Email
gaurav@actcogrp.com
Fax
+971.4.353.3991
Mobile
+971.50.645.2849 / +971.55.956.6877
Name:
Mrs. RathikaHarish
Title:
Customer Care Executive
Direct Line
+971.4.353.3992
Email
cs.dxb@actcogrp.com
Fax
+971.4.353.3991
Mobile
+971.55.956.6030"
"ACTCO – Afghan Container Transport Company(Kabul, Head Office)",Afghanistan,"House No. 252. St. No.2 , Left West Of Charahi – Haji Yaqub,Kabul, AfghanistanMailing: P.O. Box 3165, Kabul, Afghanistan",gaurav@actcogrp.com,Mrs. RathikaHarish,Customer Care Executive,+971.50.645.2849 / +971.55.956.6877,http://www.actcogrp.com/,"Address:
House No. 252. St. No.2 , Left West Of Charahi – Haji Yaqub,Kabul, AfghanistanMailing: P.O. Box 3165, Kabul, Afghanistan
Phone:
+93.70.214666,
+93.799.334944 (Mr. Ali),
+93.799.109555 (Mr. Feraidun)
Emergency Call:
+93.70.214666,
+93.799.334944 (Mr. Ali),
+93.799.109555 (Mr. Feraidun)
Website:
http://www.actcogrp.com/
Email:
info@actcogrp.com
;
gaurav@actcogrp.com
;
kabul@actcogrp.com
;
cs.dxb@actcogrp.com
Name:
Mr. Gaurav Kukreja
Title:
Managing Director
Direct Line
+971.4.353.3992
Email
gaurav@actcogrp.com
Fax
+971.4.353.3991
Mobile
+971.50.645.2849 / +971.55.956.6877
Name:
Mrs. RathikaHarish
Title:
Customer Care Executive
Direct Line
+971.4.353.3992
Email
cs.dxb@actcogrp.com
Fax
+971.4.353.3991
Mobile
+971.55.956.6030"
"Asia Pamir Logistics Ltd.(Kabul, Head Office)",Afghanistan,"Muslim Business Center,Haji Yaqub Squire, Shar-e-now,Kabul 1003, Afghanistan",sharifi@asiapamir.com,Mr. HamidSharifi,CEO & Director,+93 70 038 0630,http://www.asiapamir.com/,"Address:
Muslim Business Center,Haji Yaqub Squire, Shar-e-now,Kabul 1003, Afghanistan
Phone:
+93.20.2213603
Website:
http://www.asiapamir.com/
Name:
Mr. HamidSharifi
Title:
CEO & Director
Direct Line
+93 70 038 0630
Email
sharifi@asiapamir.com
Name:
Mr. Fida Mohammad Nazari
Title:
Operations Supervisor	(Aid ,Relief & Commercial projects)
Direct Line
+93 20 221 3603
Email
ops@asiapamir.com
Mobile
+93 79 6476 2222
Name:
Mr. Abdul Hadi Karimi
Title:
Operations-Military & Defense Projects
Direct Line
+93 20 221 3603
Email
ops2@asiapamir.com
Name:
Mr. Nesar Ahmad Naziri
Title:
Sales & Pricing Department
Direct Line
+93 79 646 2222
Email
sales@asiapamir.com
Mobile
+93 78 886 6818"
"Asia Pamir Logistics Ltd.(Kabul, Head Office)",Afghanistan,"Muslim Business Center,Haji Yaqub Squire, Shar-e-now,Kabul 1003, Afghanistan",ops@asiapamir.com,Mr. Fida Mohammad Nazari,"Operations Supervisor	(Aid ,Relief & Commercial projects)",+93 20 221 3603,http://www.asiapamir.com/,"Address:
Muslim Business Center,Haji Yaqub Squire, Shar-e-now,Kabul 1003, Afghanistan
Phone:
+93.20.2213603
Website:
http://www.asiapamir.com/
Name:
Mr. HamidSharifi
Title:
CEO & Director
Direct Line
+93 70 038 0630
Email
sharifi@asiapamir.com
Name:
Mr. Fida Mohammad Nazari
Title:
Operations Supervisor	(Aid ,Relief & Commercial projects)
Direct Line
+93 20 221 3603
Email
ops@asiapamir.com
Mobile
+93 79 6476 2222
Name:
Mr. Abdul Hadi Karimi
Title:
Operations-Military & Defense Projects
Direct Line
+93 20 221 3603
Email
ops2@asiapamir.com
Name:
Mr. Nesar Ahmad Naziri
Title:
Sales & Pricing Department
Direct Line
+93 79 646 2222
Email
sales@asiapamir.com
Mobile
+93 78 886 6818"
"Asia Pamir Logistics Ltd.(Kabul, Head Office)",Afghanistan,"Muslim Business Center,Haji Yaqub Squire, Shar-e-now,Kabul 1003, Afghanistan",ops2@asiapamir.com,Mr. Abdul Hadi Karimi,Operations-Military & Defense Projects,+93 20 221 3603,http://www.asiapamir.com/,"Address:
Muslim Business Center,Haji Yaqub Squire, Shar-e-now,Kabul 1003, Afghanistan
Phone:
+93.20.2213603
Website:
http://www.asiapamir.com/
Name:
Mr. HamidSharifi
Title:
CEO & Director
Direct Line
+93 70 038 0630
Email
sharifi@asiapamir.com
Name:
Mr. Fida Mohammad Nazari
Title:
Operations Supervisor	(Aid ,Relief & Commercial projects)
Direct Line
+93 20 221 3603
Email
ops@asiapamir.com
Mobile
+93 79 6476 2222
Name:
Mr. Abdul Hadi Karimi
Title:
Operations-Military & Defense Projects
Direct Line
+93 20 221 3603
Email
ops2@asiapamir.com
Name:
Mr. Nesar Ahmad Naziri
Title:
Sales & Pricing Department
Direct Line
+93 79 646 2222
Email
sales@asiapamir.com
Mobile
+93 78 886 6818"
"Asia Pamir Logistics Ltd.(Kabul, Head Office)",Afghanistan,"Muslim Business Center,Haji Yaqub Squire, Shar-e-now,Kabul 1003, Afghanistan",sales@asiapamir.com,Mr. Nesar Ahmad Naziri,Sales & Pricing Department,+93 79 646 2222,http://www.asiapamir.com/,"Address:
Muslim Business Center,Haji Yaqub Squire, Shar-e-now,Kabul 1003, Afghanistan
Phone:
+93.20.2213603
Website:
http://www.asiapamir.com/
Name:
Mr. HamidSharifi
Title:
CEO & Director
Direct Line
+93 70 038 0630
Email
sharifi@asiapamir.com
Name:
Mr. Fida Mohammad Nazari
Title:
Operations Supervisor	(Aid ,Relief & Commercial projects)
Direct Line
+93 20 221 3603
Email
ops@asiapamir.com
Mobile
+93 79 6476 2222
Name:
Mr. Abdul Hadi Karimi
Title:
Operations-Military & Defense Projects
Direct Line
+93 20 221 3603
Email
ops2@asiapamir.com
Name:
Mr. Nesar Ahmad Naziri
Title:
Sales & Pricing Department
Direct Line
+93 79 646 2222
Email
sales@asiapamir.com
Mobile
+93 78 886 6818"
